window,z_mean,cusum,why
2025-11-02 18:02:25-03:00,3.6990954783296957,3.1990954783296957,"z_pkts_total:6.1,z_flows_total:6.1"
2025-11-02 18:02:30-03:00,1.5283057380555238,4.2274012163852195,"z_pkts_total:2.4,z_flows_total:2.4"
2025-11-02 18:02:35-03:00,4.98308230278416,8.71048351916938,"z_uniq_dst_ports:8.0,z_pkts_total:5.6"
2025-11-02 18:02:40-03:00,2.6113235169604314,10.821807036129812,"z_uniq_dst_ports:8.0,z_bytes_total:2.6"
2025-11-02 18:02:45-03:00,1.8156027250232374,12.13740976115305,"z_uniq_dst_ports:7.1,z_bytes_total:1.1"
2025-11-02 18:02:50-03:00,0.6303528175532647,12.267762578706314,"z_uniq_dst_ports:2.2,z_bytes_total:0.6"
2025-11-02 18:02:55-03:00,0.5424694232312817,12.310232001937596,"z_pkts_total:-1.1,z_flows_total:-1.1"
2025-11-02 18:03:10-03:00,1.1345516187028921,12.944783620640488,"z_bytes_total:-1.4,z_pkts_total:-1.2"
2025-11-02 18:03:15-03:00,0.708805304517239,13.153588925157727,"z_pkts_total:-1.1,z_flows_total:-1.1"
2025-11-02 18:03:25-03:00,0.6912142090307427,13.34480313418847,"z_pkts_total:-0.9,z_flows_total:-0.9"
2025-11-02 18:03:30-03:00,0.9395207155220582,13.784323849710528,"z_mean_iat_ms:-1.1,z_pkts_total:-1.0"
2025-11-02 18:03:35-03:00,0.6793496445925102,13.963673494303038,"z_mean_iat_ms:-1.0,z_bytes_total:-0.7"
2025-11-02 18:03:40-03:00,0.6646933440131351,14.128366838316172,"z_mean_iat_ms:-0.9,z_pkts_total:-0.7"
2025-11-02 18:03:45-03:00,2.0657409856083353,15.694107823924508,"z_mean_iat_ms:8.0,z_bytes_total:-0.7"
2025-11-02 18:03:50-03:00,1.6464967418018517,16.84060456572636,"z_uniq_dst_ports:7.8,z_pkts_total:0.1"
2025-11-02 18:03:55-03:00,0.6825426870861421,17.0231472528125,"z_mean_iat_ms:1.7,z_uniq_dst_ports:1.0"
2025-11-02 18:04:00-03:00,0.6860928276815319,17.20924008049403,"z_mean_iat_ms:2.6,z_bytes_total:-0.5"
2025-11-02 18:04:05-03:00,2.1624051661097026,18.871645246603734,"z_uniq_dst_ports:8.0,z_bytes_total:0.9"
2025-11-02 18:04:10-03:00,2.1421899471295744,20.513835193733307,"z_uniq_dst_ports:8.0,z_mean_iat_ms:2.4"
2025-11-02 18:04:15-03:00,0.5268250552118598,20.540660248945166,"z_pkts_total:0.7,z_flows_total:0.7"
2025-11-02 18:04:20-03:00,0.5735393929489353,20.6141996418941,"z_mean_iat_ms:1.9,z_uniq_dst_ports:-0.7"
2025-11-02 18:04:25-03:00,1.8935251395658201,22.00772478145992,"z_uniq_dst_ports:8.0,z_bytes_total:0.6"
2025-11-02 18:04:30-03:00,1.3519264544667962,22.859651235926716,"z_uniq_dst_ports:3.4,z_mean_iat_ms:2.4"
2025-11-02 18:04:35-03:00,0.6260799754591234,22.98573121138584,"z_uniq_dst_ports:1.3,z_mean_iat_ms:0.7"
2025-11-02 18:04:40-03:00,1.9427465354946079,24.428477746880446,"z_uniq_dst_ports:8.0,z_pkts_total:0.5"
2025-11-02 18:04:45-03:00,0.5390626968048684,24.467540443685316,"z_pkts_total:0.8,z_flows_total:0.8"
2025-11-02 18:04:50-03:00,0.678988719868606,24.64652916355392,"z_pkts_total:1.1,z_flows_total:1.1"
2025-11-02 18:04:55-03:00,0.6116471109604488,24.75817627451437,"z_bytes_total:1.1,z_uniq_dst_ports:0.7"
2025-11-02 18:05:00-03:00,0.27983900929730965,24.538015283811678,"z_mean_iat_ms:0.7,z_bytes_total:-0.4"
2025-11-02 18:05:05-03:00,0.5246595242219415,24.56267480803362,"z_pkts_total:1.1,z_flows_total:1.1"
2025-11-02 18:05:10-03:00,1.206619121702165,25.269293929735785,"z_uniq_dst_ports:3.0,z_pkts_total:1.1"
2025-11-02 18:05:15-03:00,1.3754815306172552,26.14477546035304,"z_mean_iat_ms:3.4,z_bytes_total:-1.2"
2025-11-02 18:05:20-03:00,1.0625442747511076,26.707319735104146,"z_mean_iat_ms:2.5,z_bytes_total:-1.1"
2025-11-02 18:05:25-03:00,0.3340998651710714,26.54141960027522,"z_bytes_total:1.0,z_pkts_total:0.2"
2025-11-02 18:05:30-03:00,0.9881727206949871,27.029592320970206,"z_mean_iat_ms:2.1,z_bytes_total:-1.1"
2025-11-02 18:05:35-03:00,1.0841040310224923,27.613696351992697,"z_mean_iat_ms:2.6,z_bytes_total:-1.0"
2025-11-02 18:05:40-03:00,4.071358488563912,31.18505484055661,"z_pkts_total:5.6,z_flows_total:5.6"
2025-11-02 18:05:45-03:00,4.075825288306552,34.760880128863164,"z_uniq_dst_ports:8.0,z_pkts_total:3.9"
2025-11-02 18:05:50-03:00,2.1274791691954493,36.38835929805861,"z_uniq_dst_ports:8.0,z_bytes_total:0.9"
2025-11-02 18:05:55-03:00,6.60339148950044,42.49175078755905,"z_bytes_total:8.0,z_pkts_total:8.0"
2025-11-02 18:06:00-03:00,3.6693488819394005,45.66109966949845,"z_uniq_dst_ports:8.0,z_pkts_total:3.6"
2025-11-02 18:06:05-03:00,2.219797722780108,47.380897392278555,"z_uniq_dst_ports:8.0,z_bytes_total:1.0"
2025-11-02 18:06:10-03:00,2.663037414075682,49.54393480635424,"z_uniq_dst_ports:8.0,z_bytes_total:1.9"
2025-11-02 18:06:15-03:00,0.6006064713813063,49.64454127773554,"z_uniq_dst_ports:2.7,z_bytes_total:0.2"
2025-11-02 18:06:20-03:00,0.5047761876606375,49.64931746539618,"z_uniq_dst_ports:1.7,z_pkts_total:0.3"
2025-11-02 18:06:25-03:00,0.7253520654384008,49.87466953083458,"z_pkts_total:-1.2,z_flows_total:-1.2"
